AAB	ABELAG AVIATION
ARE	AIRES S.A. (AEROVIAS DE INTEGRACION REGIONAL S.A.) D/B/A LAN COLOMBIA AIRLINES S.A. D/B/A LAN COLOMBIA AIRLINES
ARF	ANIMAL RESCUE FLIGHTS
ARG	AEROLINEAS ARGENTINAS
ARH	AEROHELICOPTEROS, C.A.
ARI	AERO VICS, S.A. DE C.V.
ARK	AERO LINK AIR SERVICES S.L.
ARL	AIRLEC AIR ESPACE
ARM	MEGAVIATION
ARN	AERONEXUS CORPORATE PTY LTD
ARO	ACERO TAXI, S.A. DE C.V.
ARP	AERO CORPORATE
ARQ	AIRCO AIRCRAFT CHARTERS LTD
ARR	AVALAIR AIRCRAFT MANAGEMENT LLC
ARS	AEROMET SERVICIOS LTDA.
ART	SMART LYNX AIRLINES LTD
ARU	ARUBA AIRLINES
ARV	ARAVCO LTD.
ARW	AIRWAYS INTERNATIONAL LIMITED
ARX	AIR XPRESS, INC, (GREENSBORO, NC)
ARY	ATC CJSC
ARZ	AIRBORNE IMAGING
ASA	ALASKA AIRLINES INC.
ASB	AIR-SPRAY 1967 LTD.
ASD	AIR SPHINX
ASE	SERVICIOS DE AVIACION ASERTEC, S.A. DE C.V.
ASF	AUSTRIAN AIR FORCE
ASH	MESA AVIATION SERVICES, INC. (FARMINGTON, NM)
ASI	AEROGUARD FLIGHT TRAINING CENTER (PHOENIX, AZ)
ASJ	ASTONJET
ASK	AERO SKY S.L.
ASL	AIR SERBIA
ASM	AWESOME FLIGHT SERVICES (PTY) LTD
ASN	RS SERVICIOS DE TELEDETECCION
ASO	AEROSUL TAXI AEREO LTDA
ASP	AIRSPRINT INC.
ASQ	EXPRESSJET AIRLINES
ASR	AERO SOTRAVIA
AST	THAI SUMMER AIRWAYS COMPANY LIMITED
ASU	COMPANIA AEREA DEL SUR S.A. (AEROSUR S.A.)
ASV	AIR SEOUL
ASW	ASIA AIRWAYS
ASX	AIR SPECIAL
ASY	ROYAL AUSTRALIAN AIR FORCE
ASZ	ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)
ATB	AIRLINE TRANSPORT INCORPORATION
ATC	AIR TANZANIA
ATE	SERVICIO MEXICANO DE VUELOS DE FLETAMENTO, S.A. DE C.V.
ATF	COMPANIA AEROTECNICAS FOTOGRAFICAS
ATG	AEROTRANSCARGO
ATH	AIRCRAFT SYSTEMS SOUTH AFRICA
ATI	ART AVIA
ATJ	AIR TRAFFIC GMBH, DUESSELDORF
ATK	AEROTAXI CASANARE LTDA.
ATL	ATLAS AIR SERVICE AF, GANDERKESEE
ATM	AIRLINES OF TASMANIA T/A PAR AVION
ATN	AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)
ATO	AIRWAYS FLYGUTBILDNING AB
ATP	SERVICIOS AEREOS DEL ALTIPLANO, S.A. DE C.V.
